iso-3,year,n_cellphones,population
ABW,1960,0.0,54608.0
AFG,1960,0.0,8622466.0
AGO,1960,0.0,5357195.0
ALB,1960,0.0,1608800.0
AND,1960,0.0,9443.0
ARE,1960,0.0,133426.0
ARG,1960,0.0,20349744.0
ARM,1960,0.0,1904148.0
ASM,1960,0.0,20085.0
ATG,1960,0.0,55342.0
AUS,1960,0.0,10276477.0
AUT,1960,0.0,7047539.0
AZE,1960,0.0,3894500.0
BDI,1960,0.0,2746628.0
BEL,1960,0.0,9153489.0
BEN,1960,0.0,2512284.0
BFA,1960,0.0,4783259.0
BGD,1960,0.0,50396429.0
BGR,1960,0.0,7867374.0
BHR,1960,0.0,160691.0
BHS,1960,0.0,114500.0
BIH,1960,0.0,3262539.0
BLR,1960,0.0,8198000.0
BLZ,1960,0.0,91403.0
BMU,1960,0.0,44400.0
BOL,1960,0.0,3707515.0
BRA,1960,0.0,73092515.0
BRB,1960,0.0,232550.0
BRN,1960,0.0,85346.0
BTN,1960,0.0,221266.0
BWA,1960,0.0,512865.0
CAF,1960,0.0,1679728.0
CAN,1960,0.0,17909356.0
CHE,1960,0.0,5327827.0
CHL,1960,0.0,8141820.0
CHN,1960,0.0,667070000.0
CIV,1960,0.0,3708661.0
CMR,1960,0.0,5117608.0
COD,1960,0.0,15276558.0
COG,1960,0.0,1055693.0
COL,1960,0.0,15687688.0
COM,1960,0.0,194852.0
CPV,1960,0.0,209849.0
CRI,1960,0.0,1346302.0
CUB,1960,0.0,7267395.0
CUW,1960,0.0,124826.0
CYM,1960,0.0,8473.0
CYP,1960,0.0,585725.0
CZE,1960,0.0,9602006.0
DEU,1960,0.0,72814900.0
DJI,1960,0.0,85940.0
DMA,1960,0.0,59379.0
DNK,1960,0.0,4579603.0
DOM,1960,0.0,3298021.0
DZA,1960,0.0,11394307.0
ECU,1960,0.0,4618158.0
EGY,1960,0.0,27034499.0
ERI,1960,0.0,993568.0
ESP,1960,0.0,30455000.0
EST,1960,0.0,1211537.0
ETH,1960,0.0,21739710.0
FIN,1960,0.0,4429634.0
FJI,1960,0.0,401841.0
FRA,1960,0.0,46649927.0
FRO,1960,0.0,34154.0
FSM,1960,0.0,42986.0
GAB,1960,0.0,513340.0
GBR,1960,0.0,52400000.0
GEO,1960,0.0,3645600.0
GHA,1960,0.0,6911510.0
GIB,1960,0.0,21822.0
GIN,1960,0.0,3516814.0
GMB,1960,0.0,399649.0
GNB,1960,0.0,577933.0
GNQ,1960,0.0,267351.0
GRC,1960,0.0,8331725.0
GRD,1960,0.0,93772.0
GRL,1960,0.0,32500.0
GTM,1960,0.0,4128880.0
GUM,1960,0.0,72374.0
GUY,1960,0.0,571990.0
HKG,1960,0.0,3114671.0
HND,1960,0.0,2078617.0
HRV,1960,0.0,4140181.0
HTI,1960,0.0,3901139.0
HUN,1960,0.0,9983967.0
IDN,1960,0.0,88382881.0
IND,1960,0.0,445954579.0
IRL,1960,0.0,2828600.0
IRN,1960,0.0,21388806.0
IRQ,1960,0.0,7084678.0
ISL,1960,0.0,175574.0
ISR,1960,0.0,2114020.0
ITA,1960,0.0,50199700.0
JAM,1960,0.0,1642331.0
JOR,1960,0.0,847936.0
JPN,1960,0.0,93216000.0
KAZ,1960,0.0,9319283.0
KEN,1960,0.0,7751435.0
KGZ,1960,0.0,2172300.0
KHM,1960,0.0,5541676.0
KIR,1960,0.0,47093.0
KNA,1960,0.0,56660.0
KOR,1960,0.0,25012374.0
KWT,1960,0.0,305415.0
LAO,1960,0.0,2122532.0
LBN,1960,0.0,1798092.0
LBR,1960,0.0,1137026.0
LBY,1960,0.0,1426986.0
LCA,1960,0.0,91614.0
LIE,1960,0.0,16472.0
LKA,1960,0.0,9783871.0
LSO,1960,0.0,737838.0
LTU,1960,0.0,2778550.0
LUX,1960,0.0,313970.0
LVA,1960,0.0,2120979.0
MAC,1960,0.0,177014.0
MAR,1960,0.0,11769774.0
MCO,1960,0.0,21797.0
MDA,1960,0.0,2074015.0
MDG,1960,0.0,5073342.0
MDV,1960,0.0,91650.0
MEX,1960,0.0,36268055.0
MHL,1960,0.0,15374.0
MKD,1960,0.0,1462368.0
MLI,1960,0.0,5346792.0
MLT,1960,0.0,326550.0
MMR,1960,0.0,21720697.0
MNE,1960,0.0,480579.0
MNG,1960,0.0,977903.0
MNP,1960,0.0,8702.0
MOZ,1960,0.0,6788375.0
MRT,1960,0.0,838478.0
MUS,1960,0.0,676683.0
MWI,1960,0.0,3621081.0
MYS,1960,0.0,7833782.0
NAM,1960,0.0,590181.0
NCL,1960,0.0,79000.0
NER,1960,0.0,3497431.0
NGA,1960,0.0,44928342.0
NIC,1960,0.0,1789684.0
NLD,1960,0.0,11486631.0
NOR,1960,0.0,3581239.0
NPL,1960,0.0,10167941.0
NRU,1960,0.0,4582.0
NZL,1960,0.0,2371800.0
OMN,1960,0.0,536553.0
PAK,1960,0.0,45954226.0
PAN,1960,0.0,1126989.0
PER,1960,0.0,10172207.0
PHL,1960,0.0,28486871.0
PLW,1960,0.0,9446.0
PNG,1960,0.0,1985666.0
POL,1960,0.0,29637450.0
PRI,1960,0.0,2358000.0
PRK,1960,0.0,11655666.0
PRT,1960,0.0,8857716.0
PRY,1960,0.0,1894829.0
PSE,1960,0.0,1894829.0
PYF,1960,0.0,84851.0
QAT,1960,0.0,36385.0
ROU,1960,0.0,18406905.0
RUS,1960,0.0,119897000.0
RWA,1960,0.0,2966162.0
SAU,1960,0.0,4165563.0
SDN,1960,0.0,8326462.0
SEN,1960,0.0,3273177.0
SGP,1960,0.0,1646400.0
SLB,1960,0.0,133440.0
SLE,1960,0.0,2301310.0
SLV,1960,0.0,2779327.0
SMR,1960,0.0,15556.0
SOM,1960,0.0,2870732.0
SRB,1960,0.0,6608000.0
SSD,1960,0.0,2907724.0
STP,1960,0.0,68038.0
SUR,1960,0.0,268396.0
SVK,1960,0.0,4068095.0
SVN,1960,0.0,1584720.0
SWE,1960,0.0,7484656.0
SWZ,1960,0.0,345065.0
SXM,1960,0.0,2646.0
SYC,1960,0.0,41700.0
SYR,1960,0.0,4610712.0
TCA,1960,0.0,5604.0
TCD,1960,0.0,3028688.0
TGO,1960,0.0,1651367.0
THA,1960,0.0,26596584.0
TJK,1960,0.0,2131992.0
TKM,1960,0.0,1602052.0
TLS,1960,0.0,468573.0
TON,1960,0.0,67428.0
TTO,1960,0.0,847063.0
TUN,1960,0.0,4195467.0
TUR,1960,0.0,27510980.0
TUV,1960,0.0,5404.0
TZA,1960,0.0,10042458.0
UGA,1960,0.0,7617746.0
UKR,1960,0.0,42767251.0
URY,1960,0.0,2529021.0
USA,1960,0.0,180671000.0
UZB,1960,0.0,8372311.0
VCT,1960,0.0,84141.0
VEN,1960,0.0,8156937.0
VGB,1960,0.0,7850.0
VIR,1960,0.0,32500.0
VNM,1960,0.0,32718461.0
VUT,1960,0.0,64608.0
WSM,1960,0.0,113335.0
XKX,1960,0.0,947000.0
YEM,1960,0.0,5542459.0
ZAF,1960,0.0,16520441.0
ZMB,1960,0.0,3119430.0
ZWE,1960,0.0,3806310.0
ABW,1965,0.0,58782.0
AFG,1965,0.0,9565147.0
AGO,1965,0.0,5736582.0
ALB,1965,0.0,1864791.0
AND,1965,0.0,13563.0
ARE,1965,0.0,173797.0
ARG,1965,0.0,22053661.0
ARM,1965,0.0,2234051.0
ASM,1965,0.0,23391.0
ATG,1965,0.0,59644.0
AUS,1965,0.0,11388000.0
AUT,1965,0.0,7270889.0
AZE,1965,0.0,4574650.0
BDI,1965,0.0,3118134.0
BEL,1965,0.0,9463667.0
BEN,1965,0.0,2735843.0
BFA,1965,0.0,5157929.0
BGD,1965,0.0,58500159.0
BGR,1965,0.0,8204168.0
BHR,1965,0.0,193012.0
BHS,1965,0.0,144849.0
BIH,1965,0.0,3565517.0
BLR,1965,0.0,8610000.0
BLZ,1965,0.0,104838.0
BMU,1965,0.0,50100.0
BOL,1965,0.0,4115511.0
BRA,1965,0.0,84623747.0
BRB,1965,0.0,237694.0
BRN,1965,0.0,107686.0
BTN,1965,0.0,255010.0
BWA,1965,0.0,570975.0
CAF,1965,0.0,1849171.0
CAN,1965,0.0,19678000.0
CHE,1965,0.0,5856472.0
CHL,1965,0.0,8994936.0
CHN,1965,0.0,715185000.0
CIV,1965,0.0,4492890.0
CMR,1965,0.0,5690086.0
COD,1965,0.0,17438254.0
COG,1965,0.0,1207412.0
COL,1965,0.0,18275814.0
COM,1965,0.0,214939.0
CPV,1965,0.0,244156.0
CRI,1965,0.0,1602736.0
CUB,1965,0.0,8067651.0
CUW,1965,0.0,135266.0
CYM,1965,0.0,9366.0
CYP,1965,0.0,617345.0
CZE,1965,0.0,9779358.0
DEU,1965,0.0,75963695.0
DJI,1965,0.0,108772.0
DMA,1965,0.0,63744.0
DNK,1965,0.0,4759012.0
DOM,1965,0.0,3868712.0
DZA,1965,0.0,12381256.0
ECU,1965,0.0,5337351.0
EGY,1965,0.0,30818469.0
ERI,1965,0.0,1121739.0
ESP,1965,0.0,31954292.0
EST,1965,0.0,1294566.0
ETH,1965,0.0,24727506.0
FIN,1965,0.0,4563732.0
FJI,1965,0.0,469010.0
FRA,1965,0.0,49282756.0
FRO,1965,0.0,36346.0
FSM,1965,0.0,50759.0
GAB,1965,0.0,547535.0
GBR,1965,0.0,54348050.0
GEO,1965,0.0,3921600.0
GHA,1965,0.0,7827726.0
GIB,1965,0.0,23910.0
GIN,1965,0.0,3845074.0
GMB,1965,0.0,458908.0
GNB,1965,0.0,577638.0
GNQ,1965,0.0,295010.0
GRC,1965,0.0,8550333.0
GRD,1965,0.0,98226.0
GRL,1965,0.0,39200.0
GTM,1965,0.0,4774984.0
GUM,1965,0.0,80255.0
GUY,1965,0.0,650207.0
HKG,1965,0.0,3597900.0
HND,1965,0.0,2403465.0
HRV,1965,0.0,4280923.0
HTI,1965,0.0,4274348.0
HUN,1965,0.0,10147935.0
IDN,1965,0.0,101157868.0
IND,1965,0.0,500114346.0
IRL,1965,0.0,2877300.0
IRN,1965,0.0,24667026.0
IRQ,1965,0.0,8270544.0
ISL,1965,0.0,192286.0
ISR,1965,0.0,2563000.0
ITA,1965,0.0,52112350.0
JAM,1965,0.0,1746977.0
JOR,1965,0.0,1093474.0
JPN,1965,0.0,97952000.0
KAZ,1965,0.0,10897644.0
KEN,1965,0.0,9417207.0
KGZ,1965,0.0,2573300.0
KHM,1965,0.0,6170727.0
KIR,1965,0.0,53444.0
KNA,1965,0.0,52016.0
KOR,1965,0.0,28704674.0
KWT,1965,0.0,513840.0
LAO,1965,0.0,2379456.0
LBN,1965,0.0,2087445.0
LBR,1965,0.0,1287315.0
LBY,1965,0.0,1700072.0
LCA,1965,0.0,97024.0
LIE,1965,0.0,18500.0
LKA,1965,0.0,11035224.0
LSO,1965,0.0,860220.0
LTU,1965,0.0,2971450.0
LUX,1965,0.0,331500.0
LVA,1965,0.0,2265919.0
MAC,1965,0.0,209278.0
MAR,1965,0.0,13381880.0
MCO,1965,0.0,23022.0
MDA,1965,0.0,2301425.0
MDG,1965,0.0,5780453.0
MDV,1965,0.0,104566.0
MEX,1965,0.0,42737991.0
MHL,1965,0.0,18154.0
MKD,1965,0.0,1547982.0
MLI,1965,0.0,5726382.0
MLT,1965,0.0,318800.0
MMR,1965,0.0,24286878.0
MNE,1965,0.0,526327.0
MNG,1965,0.0,1134072.0
MNP,1965,0.0,10229.0
MOZ,1965,0.0,7524154.0
MRT,1965,0.0,965621.0
MUS,1965,0.0,753000.0
MWI,1965,0.0,4089097.0
MYS,1965,0.0,9091016.0
NAM,1965,0.0,657887.0
NCL,1965,0.0,90500.0
